loan_id,customer_id,branch_id,loan_type,principal,outstanding,interest_rate,emi,tenure_months,disbursed_date,status,dpd
LN00000034,CUST0005060,BR0012,EducationLoan,38143.47,22549.29,8.12,5177.29,240,2019-04-17,Active,0
LN00000035,CUST0007624,BR0048,HomeLoan,608205.17,163663.41,14.77,5247.03,120,2025-07-28,Active,0
LN00000036,CUST0002821,BR0049,HomeLoan,132587.43,637479.43,13.12,6222.6,240,2020-04-22,Active,0
LN00000037,CUST0003260,BR0025,EducationLoan,1252119.58,288572.75,14.87,4960.33,84,2024-04-03,NPA,0
LN00000038,CUST0003913,BR0032,HomeLoan,135582.39,310806.96,15.68,8320.59,84,2020-12-15,Active,0
LN00000039,CUST0007902,BR0034,HomeLoan,40674.54,19924.55,9.4,9601.83,84,2024-04-21,Active,0
LN00000040,CUST0006610,BR0046,HomeLoan,763298.07,103778.85,13.84,8059.14,180,2025-03-02,Closed,0
LN00000041,CUST0000923,BR0034,PersonalLoan,210658.8,93744.77,7.55,1451.38,48,2026-01-10,Active,0
LN00000042,CUST0006553,BR0039,AutoLoan,26627.82,5339.41,16.32,5176.32,48,2025-06-01,Closed,0
LN00000043,CUST0005107,BR0008,HomeLoan,417194.89,24943.98,11.34,3034.62,84,2021-04-12,Active,0
LN00000044,CUST0005634,BR0026,HomeLoan,251438.59,48859.46,12.44,10682.7,48,2020-05-15,Closed,0
LN00000045,CUST0005099,BR0024,HomeLoan,142214.29,79636.5,11.36,8743.89,120,2025-05-14,Active,0
LN00000046,CUST0005655,BR0001,EducationLoan,3495458.21,52495.23,12.72,2127.58,84,2021-09-08,Active,0
LN00000047,CUST0002903,BR0050,HomeLoan,186451.57,85244.11,16.23,7570.74,48,2022-12-14,NPA,0
LN00000048,CUST0007471,BR0014,PersonalLoan,549430.44,134867.3,12.72,5735.86,12,2022-05-21,Closed,0
LN00000049,CUST0007840,BR0036,HomeLoan,17679.72,42968.49,13.28,3939.41,84,2023-11-05,Active,0
LN00000050,CUST0006009,BR0016,AutoLoan,62994.92,58422.31,14.19,3242.1,12,2021-09-02,Active,0
LN00000051,CUST0006383,BR0047,EducationLoan,45473.8,12673.0,8.38,19938.49,60,2022-09-27,Active,0
LN00000052,CUST0006796,BR0006,AutoLoan,46886.2,79491.23,14.14,7478.56,60,2022-04-14,NPA,0
LN00000053,CUST0006663,BR0024,HomeLoan,258737.1,8386.4,11.47,3962.38,120,2020-02-15,Active,0
LN00000054,CUST0008412,BR0027,HomeLoan,13002.03,63667.72,6.51,2971.81,48,2026-02-20,Active,0
LN00000055,CUST0008560,BR0026,AutoLoan,201149.25,86736.85,7.46,3185.02,48,2021-07-31,Active,0
LN00000056,CUST0008676,BR0050,PersonalLoan,31967.02,317801.16,14.66,4138.79,180,2025-02-01,Active,0
LN00000057,CUST0002888,BR0032,AutoLoan,55224.02,43421.12,11.51,1888.76,120,2024-02-08,Closed,0
LN00000058,CUST0007560,BR0012,HomeLoan,487544.2,596396.13,8.78,4572.9,12,2019-03-31,NPA,0
LN00000059,CUST0009343,BR0048,HomeLoan,20912.04,142261.14,14.62,4998.88,120,2022-09-22,Active,152
LN00000060,CUST0004411,BR0003,HomeLoan,168113.82,116732.88,12.57,14920.61,84,2020-09-02,Active,0
LN00000061,CUST0004281,BR0013,AutoLoan,984533.18,411443.19,13.38,4298.11,84,2024-11-03,Active,0
LN00000062,CUST0004211,BR0012,AutoLoan,154168.64,428798.95,13.7,2272.28,240,2025-11-19,Active,0
LN00000063,CUST0009427,BR0025,HomeLoan,24237.77,299981.53,8.4,1592.52,24,2020-07-05,Active,0
LN00000064,CUST0006893,BR0001,HomeLoan,99684.23,68341.64,12.37,4136.34,60,2020-08-25,Active,0
LN00000065,CUST0006170,BR0031,PersonalLoan,941167.28,171567.55,10.65,3924.72,120,2025-11-21,Closed,0
LN00000066,CUST0003730,BR0006,PersonalLoan,350567.77,1044399.25,13.26,2239.5,24,2022-02-23,Active,0
LN00000067,CUST0002394,BR0037,PersonalLoan,113195.93,230449.42,13.54,23533.09,120,2019-06-29,Active,0
LN00000068,CUST0007178,BR0002,HomeLoan,50096.14,39792.75,12.52,6761.59,60,2023-10-05,NPA,51
LN00000069,CUST0000682,BR0042,GoldLoan,146855.45,101424.36,9.09,2722.23,12,2024-07-22,Active,0
LN00000070,CUST0005680,BR0008,GoldLoan,155850.84,28682.73,12.21,6844.44,120,2021-06-02,Active,0
LN00000071,CUST0004296,BR0044,HomeLoan,9188.15,21266.99,14.57,1419.44,120,2020-08-01,Active,0
LN00000072,CUST0006852,BR0019,HomeLoan,280673.81,120331.86,16.23,2438.5,12,2023-05-09,Active,0
LN00000073,CUST0005885,BR0038,PersonalLoan,413010.9,25318.65,7.91,9486.17,48,2019-03-26,Active,0
LN00000074,CUST0005470,BR0043,HomeLoan,408282.15,11437.62,10.05,1137.4,12,2025-07-08,Active,0
LN00000075,CUST0000321,BR0015,PersonalLoan,375669.0,59055.89,8.54,5250.29,60,2020-05-27,Active,0
LN00000076,CUST0002914,BR0020,AutoLoan,60799.75,17717.85,8.79,3384.52,48,2025-06-27,Closed,0
LN00000077,CUST0001271,BR0035,HomeLoan,225762.84,49630.04,10.74,2153.69,12,2020-12-06,Active,0
LN00000078,CUST0004063,BR0010,PersonalLoan,150599.95,2788.13,13.02,4087.69,48,2025-09-30,Active,0
LN00000079,CUST0002977,BR0008,HomeLoan,77711.67,36177.06,9.6,3289.58,24,2021-04-06,Active,0
LN00000080,CUST0006292,BR0002,EducationLoan,830965.68,110293.6,13.47,13094.06,12,2021-12-18,Active,0
LN00000081,CUST0001694,BR0030,PersonalLoan,44044.41,96466.25,16.25,4290.08,24,2022-07-02,Active,26
LN00000082,CUST0005422,BR0005,HomeLoan,87084.53,340460.76,15.21,903.75,36,2025-01-23,Active,0
LN00000083,CUST0007146,BR0044,HomeLoan,1871251.82,121367.49,11.82,3967.02,60,2025-02-21,Active,88
LN00000084,CUST0009963,BR0046,HomeLoan,294284.23,55837.01,15.42,1290.24,240,2020-12-26,Active,0
LN00000085,CUST0009215,BR0015,HomeLoan,983527.19,56936.1,16.17,5469.33,84,2019-06-21,NPA,0
LN00000086,CUST0002436,BR0019,EducationLoan,85023.93,62130.42,12.27,2686.85,240,2025-01-20,Closed,0
LN00000087,CUST0005675,BR0014,HomeLoan,1029543.51,392807.61,15.5,3360.07,36,2021-03-12,Active,0
LN00000088,CUST0001479,BR0041,AutoLoan,316120.55,161753.46,10.95,2243.71,36,2026-01-03,Active,102
LN00000089,CUST0003800,BR0031,EducationLoan,190908.18,90275.78,12.82,4972.71,120,2021-01-29,Active,0
LN00000090,CUST0005236,BR0028,PersonalLoan,382267.48,97220.84,10.24,3652.28,240,2020-01-02,NPA,0
LN00000091,CUST0009897,BR0005,PersonalLoan,99259.93,10153.13,10.38,4327.85,24,2021-09-13,Active,0
LN00000092,CUST0006972,BR0034,HomeLoan,178895.74,337271.81,6.64,3531.02,84,2024-11-02,Active,0
LN00000093,CUST0000819,BR0041,PersonalLoan,61635.32,12603.35,15.8,6694.22,180,2025-05-29,Active,0
LN00000094,CUST0003738,BR0002,HomeLoan,308380.72,92173.9,11.13,5598.75,60,2022-11-12,NPA,0
LN00000095,CUST0001550,BR0016,EducationLoan,97328.33,35952.41,11.83,2477.78,48,2021-12-28,Active,0
LN00000096,CUST0003239,BR0016,PersonalLoan,164705.99,67638.36,9.28,13082.33,60,2022-01-06,Active,0
LN00000097,CUST0006855,BR0043,AutoLoan,1820079.74,9173.79,6.82,13633.15,60,2022-01-02,Closed,0
LN00000098,CUST0001737,BR0011,HomeLoan,29168.87,7866.18,12.9,3776.24,24,2025-04-16,NPA,0
LN00000099,CUST0003823,BR0025,PersonalLoan,446244.08,351933.07,15.46,22904.65,180,2023-10-22,Closed,0
LN00000100,CUST0001678,BR0014,HomeLoan,993854.99,18540.49,14.3,6223.64,120,2020-02-16,Active,0
LN00000101,CUST0009840,BR0034,HomeLoan,73807.99,27925.83,7.29,3740.44,120,2021-10-19,Closed,0
LN00000102,CUST0001478,BR0002,HomeLoan,341222.55,16474.03,15.54,1611.9,180,2022-05-08,Active,0
LN00000103,CUST0004470,BR0021,EducationLoan,77002.12,131804.84,8.83,17277.87,240,2025-03-31,Active,0
LN00000104,CUST0006181,BR0032,HomeLoan,143700.69,51570.45,10.72,19867.86,120,2025-04-02,Active,0
LN00000105,CUST0001091,BR0034,EducationLoan,134593.42,304430.27,9.96,2270.82,48,2024-09-28,Active,0
LN00000106,CUST0007012,BR0045,GoldLoan,143891.65,156338.68,9.36,11780.84,84,2021-05-13,Active,0
LN00000107,CUST0002854,BR0025,HomeLoan,240695.91,74694.42,15.38,6702.52,48,2026-02-12,Active,0
LN00000108,CUST0009997,BR0006,HomeLoan,602805.26,183086.76,11.16,3206.1,240,2019-08-13,Active,0
LN00000109,CUST0002227,BR0006,GoldLoan,3110100.55,1418786.04,9.92,2773.04,84,2022-09-04,NPA,0
LN00000110,CUST0000893,BR0006,EducationLoan,128716.65,67444.41,10.0,3872.44,48,2019-06-23,Active,0
LN00000111,CUST0007256,BR0014,EducationLoan,704868.69,675150.72,10.22,2871.17,240,2019-12-09,Active,15
LN00000112,CUST0006263,BR0015,PersonalLoan,152386.13,122843.13,10.38,14593.99,36,2022-12-09,Active,0
LN00000113,CUST0007890,BR0010,AutoLoan,26523.35,57415.72,8.67,4691.92,48,2020-07-14,NPA,0
LN00000114,CUST0007903,BR0028,HomeLoan,56028.2,3449.99,9.99,6603.88,24,2022-06-29,Closed,150
LN00000115,CUST0006530,BR0032,GoldLoan,77189.71,51190.15,8.53,15933.72,36,2022-03-06,Active,0
LN00000116,CUST0007280,BR0014,PersonalLoan,297200.08,6672.54,10.93,5280.31,48,2019-05-18,NPA,0
LN00000117,CUST0004756,BR0037,HomeLoan,11243.09,161872.68,15.35,8784.57,60,2020-01-29,NPA,102
LN00000118,CUST0007417,BR0049,HomeLoan,103883.52,186829.22,9.72,3643.07,240,2025-10-31,Active,0
LN00000119,CUST0000507,BR0044,AutoLoan,41798.03,159656.19,14.66,7221.09,60,2021-11-15,Closed,0
LN00000120,CUST0002194,BR0011,HomeLoan,75205.33,47031.68,7.27,9862.67,36,2020-05-17,Closed,0
LN00000121,CUST0007571,BR0036,PersonalLoan,105974.64,76835.71,12.86,3276.31,12,2026-03-08,Closed,0
LN00000122,CUST0003932,BR0007,AutoLoan,339733.15,220603.44,14.84,8132.26,12,2019-10-24,Active,0
LN00000123,CUST0001547,BR0044,EducationLoan,232953.22,107838.83,9.07,5274.53,12,2020-05-20,NPA,0
LN00000124,CUST0009396,BR0044,AutoLoan,71998.94,164520.47,15.35,6730.68,36,2020-10-23,Active,0
LN00000125,CUST0006873,BR0031,GoldLoan,472179.39,63096.74,12.59,11677.51,48,2022-03-06,Active,0
LN00000126,CUST0004436,BR0005,AutoLoan,70915.64,10271.59,16.13,12120.2,24,2025-07-04,Active,0
LN00000127,CUST0009829,BR0010,EducationLoan,748410.02,49298.28,10.06,14012.46,12,2024-12-08,Active,0
LN00000128,CUST0001932,BR0004,HomeLoan,25714.64,168472.24,15.27,3348.43,48,2022-05-31,Active,0
LN00000129,CUST0006238,BR0047,AutoLoan,207675.86,61725.11,12.38,4929.75,180,2022-09-12,NPA,0
LN00000130,CUST0008982,BR0043,AutoLoan,123335.68,61560.47,11.5,13212.06,36,2019-04-02,Active,0
LN00000131,CUST0001865,BR0029,HomeLoan,43435.68,19009.58,13.42,750.55,36,2021-04-14,Active,0
LN00000132,CUST0007903,BR0011,PersonalLoan,241135.91,659302.99,13.88,3387.34,12,2024-03-16,Active,0
LN00000133,CUST0006659,BR0025,PersonalLoan,1365302.13,44967.64,15.83,1493.29,48,2019-04-29,Closed,0
LN00000134,CUST0008136,BR0041,EducationLoan,387767.99,23637.42,6.94,453.39,180,2024-11-19,Closed,0
LN00000135,CUST0000878,BR0030,PersonalLoan,271703.81,50751.66,16.0,4501.02,36,2023-06-13,Active,0
LN00000136,CUST0009643,BR0004,PersonalLoan,50171.65,78274.25,7.87,6281.18,84,2020-09-04,Active,0
LN00000137,CUST0004033,BR0014,HomeLoan,15429.49,32124.17,9.52,12277.19,48,2025-09-26,Active,0
LN00000138,CUST0000233,BR0015,AutoLoan,111446.78,52874.23,15.2,22900.87,180,2021-02-21,Active,0
LN00000139,CUST0008048,BR0028,PersonalLoan,47977.83,173508.16,14.28,6175.85,120,2020-01-27,Active,0
LN00000140,CUST0002630,BR0022,HomeLoan,1763180.24,112347.26,7.51,744.15,84,2025-02-20,Closed,89
LN00000141,CUST0008874,BR0006,PersonalLoan,1168085.35,267318.74,9.74,6851.64,24,2020-11-11,NPA,0
LN00000142,CUST0000750,BR0041,PersonalLoan,283593.84,19108.06,13.14,13370.27,240,2023-08-28,Closed,84
LN00000143,CUST0003936,BR0047,HomeLoan,1897917.92,53119.93,14.56,3613.34,84,2022-12-14,Active,0
LN00000144,CUST0008666,BR0046,HomeLoan,35760.82,17730.93,13.17,8809.32,180,2022-05-09,Active,0
LN00000145,CUST0002879,BR0010,GoldLoan,174120.64,12515.32,11.75,7842.45,240,2021-10-06,Closed,0
LN00000146,CUST0008829,BR0022,PersonalLoan,291449.73,155607.9,9.15,15429.29,180,2020-09-29,Closed,0
LN00000147,CUST0009433,BR0009,EducationLoan,102494.08,8486.02,14.7,7354.57,240,2024-12-12,NPA,122
LN00000148,CUST0003202,BR0012,HomeLoan,210115.81,80975.7,11.57,4046.41,240,2025-02-19,Closed,61
LN00000149,CUST0006270,BR0015,PersonalLoan,181186.39,8388.26,7.42,2424.27,36,2025-09-04,Active,0
LN00000150,CUST0002659,BR0021,HomeLoan,869372.48,265264.04,15.61,4880.54,36,2023-08-22,Restructured,0
LN00000151,CUST0001288,BR0005,HomeLoan,455381.09,25464.62,15.95,14830.28,84,2021-06-28,Closed,0
LN00000152,CUST0007401,BR0015,PersonalLoan,311275.33,48094.75,13.0,5496.04,60,2021-02-13,Active,0
LN00000153,CUST0004893,BR0049,HomeLoan,185614.65,99276.16,12.19,4226.91,84,2025-04-23,Active,0
LN00000154,CUST0007793,BR0028,HomeLoan,65595.69,43632.04,8.19,14766.1,180,2022-11-22,Active,0
LN00000155,CUST0004783,BR0028,PersonalLoan,61917.22,16588.18,13.17,1372.63,36,2019-04-05,Active,0
LN00000156,CUST0005895,BR0034,HomeLoan,89324.64,76731.71,8.56,3288.56,36,2022-08-10,Active,0
LN00000157,CUST0000101,BR0034,AutoLoan,566012.22,55002.6,12.76,17820.16,36,2021-10-07,NPA,0
LN00000158,CUST0006175,BR0021,AutoLoan,258300.92,14695.92,7.6,4280.82,240,2022-11-16,Active,169
LN00000159,CUST0004776,BR0028,AutoLoan,154585.39,461379.17,9.09,6695.75,84,2022-07-29,Active,0
LN00000160,CUST0004883,BR0032,PersonalLoan,134223.76,1622501.3,9.81,23093.07,48,2020-02-01,Active,0
LN00000161,CUST0002229,BR0012,HomeLoan,1032726.6,36948.79,8.14,3106.11,24,2025-09-09,NPA,0
LN00000162,CUST0007084,BR0016,HomeLoan,290145.54,52809.19,8.12,17955.08,180,2024-01-04,Closed,0
LN00000163,CUST0003598,BR0005,AutoLoan,4171734.24,40286.38,14.04,16927.26,12,2023-08-25,Active,99
LN00000164,CUST0003804,BR0030,PersonalLoan,651515.71,51945.61,16.21,3645.15,240,2023-08-14,Active,0
LN00000165,CUST0004098,BR0036,PersonalLoan,19307.71,55293.68,13.44,1828.87,84,2021-03-02,Active,0
LN00000166,CUST0000090,BR0041,AutoLoan,93852.56,192326.55,13.18,5392.95,36,2025-07-15,Active,0
LN00000167,CUST0002495,BR0021,PersonalLoan,443581.53,155917.07,8.25,3855.46,12,2020-05-03,Active,0
LN00000168,CUST0006520,BR0028,PersonalLoan,379373.26,6397.86,6.63,1394.71,60,2021-01-10,NPA,0
LN00000169,CUST0007834,BR0036,PersonalLoan,34796.28,127419.83,7.46,14660.77,12,2019-07-23,Active,0
LN00000170,CUST0009561,BR0007,HomeLoan,12557.28,2572.63,12.5,3947.31,240,2020-09-02,Active,106
LN00000171,CUST0008568,BR0046,PersonalLoan,31627.58,296813.4,15.89,12211.31,120,2020-02-29,Active,0
LN00000172,CUST0001408,BR0028,PersonalLoan,369219.63,404211.51,12.85,15794.78,12,2022-09-30,Active,0
LN00000173,CUST0009047,BR0050,EducationLoan,53313.02,31251.82,8.59,6473.45,36,2023-05-24,Active,0
LN00000174,CUST0004209,BR0044,HomeLoan,61423.8,71077.69,16.21,7934.22,48,2019-12-27,Active,0
LN00000175,CUST0007144,BR0048,PersonalLoan,51898.3,18323.68,11.13,4944.57,60,2022-10-23,Active,0
LN00000176,CUST0001372,BR0004,EducationLoan,59786.51,42492.64,7.57,5586.17,84,2022-11-17,Active,0
LN00000177,CUST0006092,BR0042,HomeLoan,166005.59,383820.7,15.38,3133.64,12,2024-06-26,Active,0
LN00000178,CUST0002003,BR0001,EducationLoan,94190.0,44972.87,14.68,8220.37,24,2020-09-25,Closed,0
LN00000179,CUST0003213,BR0030,AutoLoan,17283.56,208920.57,12.16,3943.5,120,2023-07-02,Active,0
LN00000180,CUST0002601,BR0030,HomeLoan,931718.72,103698.89,8.63,22035.96,84,2020-10-04,Active,0
LN00000181,CUST0009160,BR0039,PersonalLoan,998041.07,23437.05,13.38,4208.94,180,2021-01-25,Closed,0
LN00000182,CUST0008058,BR0044,GoldLoan,327638.94,339172.83,13.53,8069.4,12,2019-04-15,Active,0
LN00000183,CUST0006298,BR0050,PersonalLoan,126107.68,26896.71,12.93,10198.32,180,2025-09-18,Active,0
LN00000184,CUST0005677,BR0006,HomeLoan,151375.62,839366.75,8.37,6192.69,24,2024-04-11,Closed,176
LN00000185,CUST0005208,BR0045,HomeLoan,418733.2,207651.45,10.88,9131.24,24,2021-08-29,Closed,0
LN00000186,CUST0001013,BR0041,HomeLoan,89599.68,38259.46,13.99,15582.16,24,2020-11-05,Active,0
LN00000187,CUST0008057,BR0027,PersonalLoan,144927.84,25730.48,14.04,3662.46,12,2025-04-10,Active,0
LN00000188,CUST0008754,BR0040,PersonalLoan,942569.9,11045.78,13.85,7169.72,24,2025-02-08,Active,0
LN00000189,CUST0004007,BR0012,EducationLoan,197561.02,110250.81,13.07,2296.99,12,2021-01-18,Active,53
LN00000190,CUST0004946,BR0021,HomeLoan,276541.1,24587.25,9.88,14996.59,48,2020-08-22,Active,0
LN00000191,CUST0003285,BR0050,EducationLoan,168266.73,449925.98,12.09,1998.92,48,2023-02-22,Active,0
LN00000192,CUST0006594,BR0025,PersonalLoan,42270.27,632734.23,13.81,3423.24,48,2020-07-11,Active,0
LN00000193,CUST0006306,BR0042,PersonalLoan,6118.41,20348.1,6.93,7575.64,180,2019-11-11,Active,0
LN00000194,CUST0005268,BR0044,HomeLoan,446497.27,19150.68,15.11,6485.73,36,2025-02-17,Closed,0
LN00000195,CUST0009736,BR0044,AutoLoan,305367.87,153177.2,16.3,3237.73,60,2024-06-27,Closed,0
LN00000196,CUST0000521,BR0034,HomeLoan,795648.11,67236.06,10.79,2307.64,240,2023-06-26,Active,0
LN00000197,CUST0006709,BR0043,AutoLoan,365890.7,24818.7,13.21,10978.26,36,2025-11-09,Active,0
LN00000198,CUST0001353,BR0012,HomeLoan,758595.75,39381.53,6.7,15096.39,24,2020-09-28,Active,0
LN00000199,CUST0009097,BR0036,AutoLoan,948513.39,71097.47,7.29,5247.37,48,2025-06-01,Closed,0
LN00000200,CUST0003487,BR0013,PersonalLoan,153144.79,65584.25,14.53,1911.15,24,2020-05-22,Active,0
LN00000201,CUST0009373,BR0010,PersonalLoan,712639.81,261374.66,9.04,1427.41,36,2021-03-20,Active,0
LN00000202,CUST0002231,BR0033,PersonalLoan,414287.29,58096.68,7.25,5910.64,240,2022-01-11,NPA,0
LN00000203,CUST0000735,BR0005,HomeLoan,602709.93,68405.59,13.73,1558.66,180,2019-04-26,Active,0
LN00000204,CUST0003607,BR0020,HomeLoan,640227.67,26586.77,10.23,1944.97,180,2022-01-26,Active,0
LN00000205,CUST0007551,BR0026,GoldLoan,239281.11,52813.85,13.35,4187.22,84,2025-05-31,Active,0
LN00000206,CUST0002974,BR0050,HomeLoan,64097.14,28013.38,10.7,2480.01,12,2022-09-12,Active,0
LN00000207,CUST0002289,BR0006,PersonalLoan,680540.47,216966.0,10.62,6271.84,120,2025-03-23,Active,0
LN00000208,CUST0006522,BR0015,HomeLoan,166263.45,80745.14,11.69,1620.82,36,2023-11-25,Active,0
LN00000209,CUST0001608,BR0002,HomeLoan,93886.34,174894.54,11.88,11425.58,12,2025-12-22,Active,0
LN00000210,CUST0004776,BR0028,HomeLoan,90301.56,29082.85,14.64,7474.24,120,2022-01-03,Active,0
LN00000211,CUST0006356,BR0049,PersonalLoan,164186.28,102912.33,14.95,5120.06,120,2025-11-16,Active,0
LN00000212,CUST0009037,BR0032,PersonalLoan,18912.28,55972.84,12.15,7967.58,84,2024-07-30,Active,0
LN00000213,CUST0008797,BR0034,HomeLoan,42260.0,58737.42,8.87,2306.47,240,2023-05-26,Active,0
LN00000214,CUST0002505,BR0017,HomeLoan,580363.54,144507.44,7.88,5771.57,48,2020-02-16,Active,20
LN00000215,CUST0001575,BR0034,GoldLoan,675678.86,7019.06,6.82,4952.14,240,2022-12-06,Closed,0
LN00000216,CUST0006030,BR0019,AutoLoan,576904.25,57399.79,10.67,4360.87,36,2022-01-02,Active,0
LN00000217,CUST0005452,BR0012,PersonalLoan,32511.9,81398.83,11.71,3212.79,60,2024-04-05,Active,0
LN00000218,CUST0007630,BR0040,AutoLoan,1275850.3,177287.34,14.12,9413.34,48,2023-03-13,Active,33
LN00000219,CUST0001774,BR0033,PersonalLoan,97808.32,21518.53,10.93,27071.26,24,2019-07-26,Active,0
LN00000220,CUST0005101,BR0003,PersonalLoan,455315.07,1344660.24,7.27,9524.34,60,2023-06-15,Active,0
LN00000221,CUST0003230,BR0032,AutoLoan,305894.97,31243.45,8.54,491.27,12,2024-06-09,Active,0
LN00000222,CUST0002881,BR0017,PersonalLoan,37226.61,376256.49,14.93,1043.17,240,2019-06-30,Active,0
LN00000223,CUST0008384,BR0020,PersonalLoan,195356.8,944950.4,7.24,1413.19,120,2024-09-29,Closed,0
LN00000224,CUST0006074,BR0038,PersonalLoan,115595.07,206835.15,13.94,6638.63,120,2022-09-11,Active,0
LN00000225,CUST0008350,BR0042,AutoLoan,124269.06,167368.97,9.55,18038.57,120,2025-02-17,Active,75
LN00000226,CUST0003952,BR0021,HomeLoan,69684.27,19354.16,8.61,2169.85,48,2023-01-06,Active,0
LN00000227,CUST0002145,BR0014,HomeLoan,22231.4,333593.63,7.83,2640.61,84,2021-11-07,Active,0
LN00000228,CUST0003053,BR0030,PersonalLoan,127740.02,79575.21,8.76,1525.1,180,2020-10-25,Active,0
LN00000229,CUST0004884,BR0018,GoldLoan,102386.36,30475.39,16.11,5361.04,240,2020-04-15,Active,0
LN00000230,CUST0004710,BR0019,AutoLoan,355782.87,22464.52,9.32,8107.9,84,2019-12-24,Active,0
LN00000231,CUST0002133,BR0025,HomeLoan,625566.64,239389.91,12.65,11414.59,24,2025-05-03,NPA,0
LN00000232,CUST0002931,BR0025,PersonalLoan,435725.1,48855.12,14.62,2835.8,24,2021-07-14,Active,0
LN00000233,CUST0001771,BR0039,PersonalLoan,451816.66,24804.74,9.87,3020.99,84,2020-02-03,NPA,0
LN00000234,CUST0006838,BR0028,AutoLoan,107703.04,38533.22,11.91,2855.15,84,2022-08-27,Active,0
LN00000235,CUST0005868,BR0002,PersonalLoan,26546.34,47226.41,8.15,2334.29,84,2022-08-28,Active,12
LN00000236,CUST0004952,BR0029,HomeLoan,34187.68,43195.4,9.11,817.21,240,2022-08-01,NPA,0
